comparison,kind,lhs,rhs,lhs_ms,rhs_ms,ratio,bar,outcome
wm_grpc_small,converge,win_init,old_committed,1521,1462,1.040,1.10,PASS
wm_grpc_small,cross,worst_arm,min_old_committed,1521,1462,1.040,1.10,PASS
wm_tcp_large,invariance,mac_init,win_init,960,997,1.039,1.10,PASS
wm_tcp_large,converge,mac_init,old_session,960,964,0.996,1.10,PASS
wm_tcp_large,converge,mac_init,old_committed,960,1294,0.742,1.10,PASS
wm_tcp_large,converge,win_init,old_session,997,964,1.034,1.10,PASS
wm_tcp_large,converge,win_init,old_committed,997,1294,0.770,1.10,PASS
wm_tcp_large,cross,worst_arm,min_old_committed,997,1294,0.770,1.10,PASS
wm_tcp_mixed,invariance,mac_init,win_init,1221,939,1.300,1.10,FAIL
wm_tcp_mixed,converge,mac_init,old_session,1221,956,1.277,1.10,FAIL
wm_tcp_mixed,converge,mac_init,old_committed,1221,1284,0.951,1.10,PASS
wm_tcp_mixed,converge,win_init,old_session,939,956,0.982,1.10,PASS
wm_tcp_mixed,converge,win_init,old_committed,939,1284,0.731,1.10,PASS
wm_tcp_mixed,cross,worst_arm,min_old_committed,1221,1284,0.951,1.10,PASS
wm_tcp_small,invariance,mac_init,win_init,1330,1366,1.027,1.10,PASS
wm_tcp_small,converge,mac_init,old_session,1330,1480,0.899,1.10,PASS
wm_tcp_small,converge,mac_init,old_committed,1330,1280,1.039,1.10,PASS
wm_tcp_small,converge,win_init,old_session,1366,1480,0.923,1.10,PASS
wm_tcp_small,converge,win_init,old_committed,1366,1280,1.067,1.10,PASS
wm_tcp_small,cross,worst_arm,min_old_committed,1366,1280,1.067,1.10,PASS
gap_tcp_large,cross-gap,old_push,old_pull,1707,964,1.771,,RECORDED
gap_tcp_large,cross-gap,new_mw_worst,new_wm_worst,1707,997,1.712,,RECORDED
gap_tcp_small,cross-gap,old_push,old_pull,1644,1480,1.111,,RECORDED
gap_tcp_small,cross-gap,new_mw_worst,new_wm_worst,1814,1366,1.328,,RECORDED
gap_tcp_mixed,cross-gap,old_push,old_pull,1491,956,1.560,,RECORDED
gap_tcp_mixed,cross-gap,new_mw_worst,new_wm_worst,1477,1221,1.210,,RECORDED
gap_grpc_large,cross-gap,old_push,old_pull,1696,976,1.738,,RECORDED
gap_grpc_large,cross-gap,new_mw_worst,new_wm_worst,1750,996,1.757,,RECORDED
gap_grpc_small,cross-gap,old_push,old_pull,2656,1663,1.597,,RECORDED
gap_grpc_small,cross-gap,new_mw_worst,new_wm_worst,1981,1521,1.302,,RECORDED
gap_grpc_mixed,cross-gap,old_push,old_pull,2106,1395,1.510,,RECORDED
gap_grpc_mixed,cross-gap,new_mw_worst,new_wm_worst,1837,1393,1.319,,RECORDED
