cell,arm,build,initiator,run,ms,flush_ms,exit,drain,valid
pull_tcp_mixed,new,f35702a,mac,2,1194,76,0,drained_6s,yes
pull_tcp_mixed,old,0f922de,mac,3,952,77,0,drained_6s,yes
pull_tcp_mixed,new,f35702a,mac,3,1282,74,0,drained_8s,yes
pull_tcp_mixed,old,0f922de,mac,4,961,80,0,drained_8s,yes
pull_tcp_mixed,new,f35702a,mac,4,1176,77,0,drained_8s,yes
push_grpc_mixed,old,0f922de,mac,1,1811,665,0,drained_6s,yes
push_grpc_mixed,new,f35702a,mac,1,2100,677,0,drained_8s,yes
push_grpc_mixed,old,0f922de,mac,2,2192,861,0,drained_8s,yes
push_grpc_mixed,new,f35702a,mac,2,2105,681,0,drained_8s,yes
push_grpc_mixed,old,0f922de,mac,3,2002,726,0,DRAIN-TIMEOUT,no
push_grpc_mixed,new,f35702a,mac,3,2132,669,0,drained_48s,no
push_grpc_mixed,old,0f922de,mac,3,2447,647,0,drained_8s,yes
push_grpc_mixed,new,f35702a,mac,3,2179,678,0,drained_6s,yes
push_grpc_mixed,old,0f922de,mac,4,2021,679,0,drained_8s,yes
push_grpc_mixed,new,f35702a,mac,4,2030,663,0,drained_8s,yes
pull_grpc_mixed,old,0f922de,mac,1,1411,77,0,drained_8s,yes
pull_grpc_mixed,new,f35702a,mac,1,1349,79,0,drained_6s,yes
pull_grpc_mixed,old,0f922de,mac,2,1371,77,0,drained_8s,yes
pull_grpc_mixed,new,f35702a,mac,2,1322,81,0,drained_6s,yes
pull_grpc_mixed,old,0f922de,mac,3,1380,76,0,drained_8s,yes
pull_grpc_mixed,new,f35702a,mac,3,1406,82,0,drained_8s,yes
pull_grpc_mixed,old,0f922de,mac,4,1424,64,0,drained_6s,yes
pull_grpc_mixed,new,f35702a,mac,4,1383,79,0,drained_8s,yes
mw_tcp_large,mac_init,f35702a,mac,1,1703,734,0,drained_6s,yes
mw_tcp_large,win_init,f35702a,win,1,1704,729,0,drained_6s,yes
mw_tcp_large,mac_init,f35702a,mac,2,1772,801,0,DRAIN-TIMEOUT,no
mw_tcp_large,win_init,f35702a,win,2,1811,813,0,drained_8s,no
mw_tcp_large,mac_init,f35702a,mac,2,1706,742,0,drained_8s,yes
mw_tcp_large,win_init,f35702a,win,2,1708,735,0,drained_54s,yes
mw_tcp_large,mac_init,f35702a,mac,3,1701,744,0,drained_8s,yes
mw_tcp_large,win_init,f35702a,win,3,1735,725,0,drained_8s,yes
mw_tcp_large,mac_init,f35702a,mac,4,1695,740,0,drained_8s,yes
mw_tcp_large,win_init,f35702a,win,4,1707,731,0,drained_8s,yes
wm_tcp_large,mac_init,f35702a,mac,1,967,0,0,drained_6s,yes
wm_tcp_large,win_init,f35702a,win,1,991,0,0,drained_6s,yes
wm_tcp_large,mac_init,f35702a,mac,2,963,0,0,drained_8s,yes
wm_tcp_large,win_init,f35702a,win,2,1083,0,0,drained_8s,yes
wm_tcp_large,mac_init,f35702a,mac,3,956,0,0,drained_6s,yes
wm_tcp_large,win_init,f35702a,win,3,1003,0,0,drained_8s,yes
wm_tcp_large,mac_init,f35702a,mac,4,957,0,0,drained_6s,yes
wm_tcp_large,win_init,f35702a,win,4,992,0,0,drained_8s,yes
mw_grpc_large,mac_init,f35702a,mac,1,1690,733,0,drained_6s,yes
mw_grpc_large,win_init,f35702a,win,1,1741,737,0,drained_8s,yes
mw_grpc_large,mac_init,f35702a,mac,2,1699,735,0,drained_8s,yes
mw_grpc_large,win_init,f35702a,win,2,1750,732,0,drained_6s,yes
mw_grpc_large,mac_init,f35702a,mac,3,1705,740,0,drained_8s,yes
mw_grpc_large,win_init,f35702a,win,3,1891,728,0,drained_6s,yes
mw_grpc_large,mac_init,f35702a,mac,4,1703,741,0,drained_8s,yes
mw_grpc_large,win_init,f35702a,win,4,1750,733,0,drained_8s,yes
wm_grpc_large,mac_init,f35702a,mac,1,966,0,0,drained_6s,yes
wm_grpc_large,win_init,f35702a,win,1,1019,0,0,drained_6s,yes
wm_grpc_large,mac_init,f35702a,mac,2,962,0,0,drained_8s,yes
wm_grpc_large,win_init,f35702a,win,2,992,0,0,drained_6s,yes
wm_grpc_large,mac_init,f35702a,mac,3,981,0,0,drained_8s,yes
wm_grpc_large,win_init,f35702a,win,3,988,0,0,drained_6s,yes
wm_grpc_large,mac_init,f35702a,mac,4,965,0,0,drained_6s,yes
wm_grpc_large,win_init,f35702a,win,4,1001,0,0,drained_8s,yes
mw_tcp_small,mac_init,f35702a,mac,1,1748,631,0,drained_6s,yes
mw_tcp_small,win_init,f35702a,win,1,1816,630,0,drained_8s,yes
mw_tcp_small,mac_init,f35702a,mac,2,1804,632,0,drained_6s,yes
mw_tcp_small,win_init,f35702a,win,2,1812,633,0,drained_8s,yes
mw_tcp_small,mac_init,f35702a,mac,3,1858,649,0,drained_8s,yes
mw_tcp_small,win_init,f35702a,win,3,1843,641,0,drained_6s,yes
mw_tcp_small,mac_init,f35702a,mac,4,1758,644,0,drained_8s,yes
mw_tcp_small,win_init,f35702a,win,4,1801,639,0,drained_8s,yes
wm_tcp_small,mac_init,f35702a,mac,1,1565,162,0,drained_8s,no
wm_tcp_small,win_init,f35702a,win,1,1386,168,0,DRAIN-TIMEOUT,no
wm_tcp_small,mac_init,f35702a,mac,1,1335,168,0,drained_54s,yes
wm_tcp_small,win_init,f35702a,win,1,1354,166,0,drained_8s,yes
wm_tcp_small,mac_init,f35702a,mac,2,1326,167,0,drained_6s,yes
wm_tcp_small,win_init,f35702a,win,2,1363,166,0,drained_8s,yes
wm_tcp_small,mac_init,f35702a,mac,3,1319,173,0,drained_6s,yes
wm_tcp_small,win_init,f35702a,win,3,1412,165,0,drained_8s,yes
wm_tcp_small,mac_init,f35702a,mac,4,1474,167,0,drained_6s,yes
wm_tcp_small,win_init,f35702a,win,4,1369,164,0,drained_6s,yes
mw_grpc_small,mac_init,f35702a,mac,1,1961,632,0,drained_6s,yes
mw_grpc_small,win_init,f35702a,win,1,1996,638,0,drained_8s,yes
mw_grpc_small,mac_init,f35702a,mac,2,1965,637,0,drained_8s,yes
mw_grpc_small,win_init,f35702a,win,2,2021,631,0,drained_8s,yes
mw_grpc_small,mac_init,f35702a,mac,3,1963,631,0,drained_8s,yes
mw_grpc_small,win_init,f35702a,win,3,1952,631,0,drained_8s,yes
mw_grpc_small,mac_init,f35702a,mac,4,1994,630,0,drained_6s,yes
mw_grpc_small,win_init,f35702a,win,4,1966,634,0,drained_8s,yes
