comparison,kind,lhs,rhs,lhs_ms,rhs_ms,ratio,bar,outcome
mw_tcp_mixed,invariance,mac_init,win_init,1607,1641,1.021,1.10,PASS
mw_tcp_mixed,converge,mac_init,old_session,1607,,,1.10,NO-SAME-SESSION-REF
mw_tcp_mixed,converge,mac_init,old_committed,1607,2288,0.702,1.10,PASS
mw_tcp_mixed,converge,win_init,old_session,1641,,,1.10,NO-SAME-SESSION-REF
mw_tcp_mixed,converge,win_init,old_committed,1641,2288,0.717,1.10,PASS
mw_tcp_mixed,cross,worst_arm,min_old_committed,1641,1284,1.278,1.10,FAIL
wm_grpc_mixed,invariance,mac_init,win_init,1184,1159,1.022,1.10,PASS
wm_grpc_mixed,converge,mac_init,old_session,1184,,,1.10,NO-SAME-SESSION-REF
wm_grpc_mixed,converge,mac_init,old_committed,1184,1408,0.841,1.10,PASS
wm_grpc_mixed,converge,win_init,old_session,1159,,,1.10,NO-SAME-SESSION-REF
wm_grpc_mixed,converge,win_init,old_committed,1159,1408,0.823,1.10,PASS
wm_grpc_mixed,cross,worst_arm,min_old_committed,1184,1408,0.841,1.10,PASS
wm_tcp_large,invariance,mac_init,win_init,960,946,1.015,1.10,PASS
wm_tcp_large,converge,mac_init,old_session,960,,,1.10,NO-SAME-SESSION-REF
wm_tcp_large,converge,mac_init,old_committed,960,1294,0.742,1.10,PASS
wm_tcp_large,converge,win_init,old_session,946,,,1.10,NO-SAME-SESSION-REF
wm_tcp_large,converge,win_init,old_committed,946,1294,0.731,1.10,PASS
wm_tcp_large,cross,worst_arm,min_old_committed,960,1294,0.742,1.10,PASS
wm_tcp_mixed,invariance,mac_init,win_init,1071,830,1.290,1.10,FAIL
wm_tcp_mixed,converge,mac_init,old_session,1071,,,1.10,NO-SAME-SESSION-REF
wm_tcp_mixed,converge,mac_init,old_committed,1071,1284,0.834,1.10,PASS
wm_tcp_mixed,converge,win_init,old_session,830,,,1.10,NO-SAME-SESSION-REF
wm_tcp_mixed,converge,win_init,old_committed,830,1284,0.646,1.10,PASS
wm_tcp_mixed,cross,worst_arm,min_old_committed,1071,1284,0.834,1.10,PASS
