cell,direction,fixture,pair,initiator,run_id,session_id,duration_ms,files,bytes,source_path,active_destination_path,archive_path,source_manifest,landed_manifest,source_trace,destination_trace,exit,valid
q_to_windows_horizon,q_to_windows,horizon,1,source_init,ldt4-001,5760f3eede7b406e,47661,40,42949672960,/Volumes/Apps/blit-ldt4-f13/staging/fixtures/src_horizon,D:/blit-test/ldt4-f13/sessions/ldt4-20260722T022350Z-7050a2997ac5/active/horizon,D:/blit-test/ldt4-f13/sessions/ldt4-20260722T022350Z-7050a2997ac5/retained/ldt4-001,manifests/source/q_to_windows_horizon.csv,manifests/landed/ldt4-001.csv,endpoint/q/ldt4-001/client.err,endpoint/windows/ldt4-001/daemon.err,0,yes
q_to_windows_horizon,q_to_windows,horizon,1,destination_init,ldt4-002,a76ddd2ca7c45bee,47740,40,42949672960,/Volumes/Apps/blit-ldt4-f13/staging/fixtures/src_horizon,D:/blit-test/ldt4-f13/sessions/ldt4-20260722T022350Z-7050a2997ac5/active/horizon,D:/blit-test/ldt4-f13/sessions/ldt4-20260722T022350Z-7050a2997ac5/retained/ldt4-002,manifests/source/q_to_windows_horizon.csv,manifests/landed/ldt4-002.csv,endpoint/q/ldt4-002/daemon.err,endpoint/windows/ldt4-002/client.err,0,yes
windows_to_q_horizon,windows_to_q,horizon,1,destination_init,ldt4-003,7685b82c3e724958,45282,40,42949672960,D:/blit-test/ldt4-f13/staging/fixtures/src_horizon,/Volumes/Apps/blit-ldt4-f13/sessions/ldt4-20260722T022350Z-7050a2997ac5/active/horizon,/Volumes/Apps/blit-ldt4-f13/sessions/ldt4-20260722T022350Z-7050a2997ac5/retained/ldt4-003,manifests/source/windows_to_q_horizon.csv,manifests/landed/ldt4-003.csv,endpoint/windows/ldt4-003/daemon.err,endpoint/q/ldt4-003/client.err,0,yes
windows_to_q_horizon,windows_to_q,horizon,1,source_init,ldt4-004,b9265af8c612c583,34710,40,42949672960,D:/blit-test/ldt4-f13/staging/fixtures/src_horizon,/Volumes/Apps/blit-ldt4-f13/sessions/ldt4-20260722T022350Z-7050a2997ac5/active/horizon,/Volumes/Apps/blit-ldt4-f13/sessions/ldt4-20260722T022350Z-7050a2997ac5/retained/ldt4-004,manifests/source/windows_to_q_horizon.csv,manifests/landed/ldt4-004.csv,endpoint/windows/ldt4-004/client.err,endpoint/q/ldt4-004/daemon.err,0,yes
