comparison,kind,lhs,rhs,lhs_ms,rhs_ms,ratio,bar,outcome
mw_tcp_mixed,invariance,mac_init,win_init,1735,1619,1.072,1.10,PASS
mw_tcp_mixed,converge,mac_init,old_session,1735,,,1.10,NO-SAME-SESSION-REF
mw_tcp_mixed,converge,mac_init,old_committed,1735,2288,0.758,1.10,PASS
mw_tcp_mixed,converge,win_init,old_session,1619,,,1.10,NO-SAME-SESSION-REF
mw_tcp_mixed,converge,win_init,old_committed,1619,2288,0.708,1.10,PASS
mw_tcp_mixed,cross,worst_arm,min_old_committed,1735,1284,1.351,1.10,FAIL
wm_grpc_mixed,invariance,mac_init,win_init,1178,1159,1.016,1.10,PASS
wm_grpc_mixed,converge,mac_init,old_session,1178,,,1.10,NO-SAME-SESSION-REF
wm_grpc_mixed,converge,mac_init,old_committed,1178,1408,0.837,1.10,PASS
wm_grpc_mixed,converge,win_init,old_session,1159,,,1.10,NO-SAME-SESSION-REF
wm_grpc_mixed,converge,win_init,old_committed,1159,1408,0.823,1.10,PASS
wm_grpc_mixed,cross,worst_arm,min_old_committed,1178,1408,0.837,1.10,PASS
wm_tcp_large,invariance,mac_init,win_init,960,944,1.017,1.10,PASS
wm_tcp_large,converge,mac_init,old_session,960,,,1.10,NO-SAME-SESSION-REF
wm_tcp_large,converge,mac_init,old_committed,960,1294,0.742,1.10,PASS
wm_tcp_large,converge,win_init,old_session,944,,,1.10,NO-SAME-SESSION-REF
wm_tcp_large,converge,win_init,old_committed,944,1294,0.730,1.10,PASS
wm_tcp_large,cross,worst_arm,min_old_committed,960,1294,0.742,1.10,PASS
wm_tcp_mixed,invariance,mac_init,win_init,1066,849,1.256,1.10,FAIL
wm_tcp_mixed,converge,mac_init,old_session,1066,,,1.10,NO-SAME-SESSION-REF
wm_tcp_mixed,converge,mac_init,old_committed,1066,1284,0.830,1.10,PASS
wm_tcp_mixed,converge,win_init,old_session,849,,,1.10,NO-SAME-SESSION-REF
wm_tcp_mixed,converge,win_init,old_committed,849,1284,0.661,1.10,PASS
wm_tcp_mixed,cross,worst_arm,min_old_committed,1066,1284,0.830,1.10,PASS
