cell,arm,build,initiator,run,ms,flush_ms,exit,drain,valid
wm_tcp_large,mac_init,f35702a,mac,1,960,0,0,drained_6s,yes
wm_tcp_large,win_init,f35702a,win,1,946,0,0,drained_6s,yes
wm_tcp_large,mac_init,f35702a,mac,2,954,0,0,drained_6s,yes
wm_tcp_large,win_init,f35702a,win,2,940,0,0,drained_8s,yes
wm_tcp_large,mac_init,f35702a,mac,3,995,0,0,drained_6s,yes
wm_tcp_large,win_init,f35702a,win,3,944,0,0,drained_8s,yes
wm_tcp_large,mac_init,f35702a,mac,4,960,0,0,drained_6s,yes
wm_tcp_large,win_init,f35702a,win,4,944,0,0,drained_8s,yes
wm_tcp_large,mac_init,f35702a,mac,5,954,0,0,drained_8s,yes
wm_tcp_large,win_init,f35702a,win,5,943,0,0,drained_8s,yes
wm_tcp_large,mac_init,f35702a,mac,6,960,0,0,drained_8s,yes
wm_tcp_large,win_init,f35702a,win,6,954,0,0,drained_6s,yes
wm_tcp_large,mac_init,f35702a,mac,7,955,0,0,drained_6s,yes
wm_tcp_large,win_init,f35702a,win,7,945,0,0,drained_6s,yes
wm_tcp_large,mac_init,f35702a,mac,8,964,0,0,drained_6s,yes
wm_tcp_large,win_init,f35702a,win,8,942,0,0,drained_8s,yes
mw_tcp_mixed,mac_init,f35702a,mac,1,1777,740,0,drained_8s,yes
mw_tcp_mixed,win_init,f35702a,win,1,1690,674,0,drained_6s,yes
mw_tcp_mixed,mac_init,f35702a,mac,2,1755,640,0,drained_6s,yes
mw_tcp_mixed,win_init,f35702a,win,2,1530,652,0,drained_8s,yes
mw_tcp_mixed,mac_init,f35702a,mac,3,1801,664,0,drained_8s,yes
mw_tcp_mixed,win_init,f35702a,win,3,1573,648,0,drained_8s,yes
mw_tcp_mixed,mac_init,f35702a,mac,4,1565,649,0,drained_8s,yes
mw_tcp_mixed,win_init,f35702a,win,4,1617,653,0,drained_8s,yes
mw_tcp_mixed,mac_init,f35702a,mac,5,1795,648,0,drained_6s,yes
mw_tcp_mixed,win_init,f35702a,win,5,1622,662,0,drained_6s,yes
mw_tcp_mixed,mac_init,f35702a,mac,6,1715,663,0,drained_8s,yes
mw_tcp_mixed,win_init,f35702a,win,6,1672,660,0,drained_8s,yes
mw_tcp_mixed,mac_init,f35702a,mac,7,1580,666,0,drained_8s,yes
mw_tcp_mixed,win_init,f35702a,win,7,1633,657,0,drained_6s,yes
mw_tcp_mixed,mac_init,f35702a,mac,8,1596,666,0,drained_8s,yes
mw_tcp_mixed,win_init,f35702a,win,8,1607,663,0,drained_8s,yes
wm_tcp_mixed,mac_init,f35702a,mac,1,1108,71,0,drained_8s,yes
wm_tcp_mixed,win_init,f35702a,win,1,1054,74,0,drained_6s,yes
wm_tcp_mixed,mac_init,f35702a,mac,2,1066,70,0,drained_8s,yes
wm_tcp_mixed,win_init,f35702a,win,2,867,71,0,drained_6s,yes
wm_tcp_mixed,mac_init,f35702a,mac,3,1066,74,0,drained_6s,yes
wm_tcp_mixed,win_init,f35702a,win,3,861,69,0,drained_8s,yes
wm_tcp_mixed,mac_init,f35702a,mac,4,1090,74,0,drained_8s,yes
wm_tcp_mixed,win_init,f35702a,win,4,842,71,0,drained_6s,yes
wm_tcp_mixed,mac_init,f35702a,mac,5,1066,63,0,drained_8s,yes
wm_tcp_mixed,win_init,f35702a,win,5,845,61,0,drained_8s,yes
wm_tcp_mixed,mac_init,f35702a,mac,6,1059,63,0,drained_8s,yes
wm_tcp_mixed,win_init,f35702a,win,6,848,61,0,drained_6s,yes
wm_tcp_mixed,mac_init,f35702a,mac,7,1064,72,0,drained_8s,yes
wm_tcp_mixed,win_init,f35702a,win,7,851,71,0,drained_6s,yes
wm_tcp_mixed,mac_init,f35702a,mac,8,1112,73,0,drained_8s,yes
wm_tcp_mixed,win_init,f35702a,win,8,729,73,0,drained_8s,yes
wm_grpc_mixed,mac_init,f35702a,mac,1,1182,73,0,drained_6s,yes
wm_grpc_mixed,win_init,f35702a,win,1,1196,72,0,drained_8s,yes
wm_grpc_mixed,mac_init,f35702a,mac,2,1139,64,0,drained_8s,yes
wm_grpc_mixed,win_init,f35702a,win,2,1139,84,0,drained_8s,yes
wm_grpc_mixed,mac_init,f35702a,mac,3,1126,62,0,drained_8s,yes
wm_grpc_mixed,win_init,f35702a,win,3,1164,70,0,drained_8s,yes
wm_grpc_mixed,mac_init,f35702a,mac,4,1202,63,0,drained_8s,yes
wm_grpc_mixed,win_init,f35702a,win,4,1170,61,0,drained_8s,yes
wm_grpc_mixed,mac_init,f35702a,mac,5,1174,64,0,drained_6s,yes
wm_grpc_mixed,win_init,f35702a,win,5,1155,70,0,drained_8s,yes
wm_grpc_mixed,mac_init,f35702a,mac,6,1195,70,0,drained_8s,yes
wm_grpc_mixed,win_init,f35702a,win,6,1193,69,0,drained_8s,yes
wm_grpc_mixed,mac_init,f35702a,mac,7,1204,71,0,drained_8s,yes
wm_grpc_mixed,win_init,f35702a,win,7,1125,60,0,drained_8s,yes
wm_grpc_mixed,mac_init,f35702a,mac,8,1155,73,0,drained_8s,yes
wm_grpc_mixed,win_init,f35702a,win,8,1142,63,0,drained_8s,yes
