cell,arm,build,initiator,run,ms,flush_ms,exit,drain,valid
pull_tcp_mixed,old,0f922de,mac,2,855,71,0,drained_6s,yes
pull_tcp_mixed,new,e21cf84,mac,2,1134,77,0,drained_8s,yes
pull_tcp_mixed,old,0f922de,mac,3,877,82,0,drained_6s,yes
pull_tcp_mixed,new,e21cf84,mac,3,1186,76,0,drained_6s,yes
pull_tcp_mixed,old,0f922de,mac,4,857,75,0,drained_8s,yes
pull_tcp_mixed,new,e21cf84,mac,4,1127,72,0,drained_8s,yes
push_grpc_mixed,old,0f922de,mac,1,2201,841,0,drained_6s,yes
push_grpc_mixed,new,e21cf84,mac,1,2306,829,0,drained_8s,yes
push_grpc_mixed,old,0f922de,mac,2,2195,824,0,drained_8s,yes
push_grpc_mixed,new,e21cf84,mac,2,2184,829,0,drained_8s,yes
push_grpc_mixed,old,0f922de,mac,3,2160,852,0,drained_8s,yes
push_grpc_mixed,new,e21cf84,mac,3,1978,820,0,drained_6s,yes
push_grpc_mixed,old,0f922de,mac,4,2142,818,0,drained_8s,yes
push_grpc_mixed,new,e21cf84,mac,4,1967,841,0,drained_8s,yes
pull_grpc_mixed,old,0f922de,mac,1,14213,103,0,drained_8s,yes
pull_grpc_mixed,new,e21cf84,mac,1,1217,103,0,drained_8s,yes
pull_grpc_mixed,old,0f922de,mac,2,1274,74,0,drained_6s,yes
pull_grpc_mixed,new,e21cf84,mac,2,1226,84,0,drained_8s,yes
pull_grpc_mixed,old,0f922de,mac,3,1487,109,0,drained_8s,yes
pull_grpc_mixed,new,e21cf84,mac,3,1262,110,0,drained_8s,yes
pull_grpc_mixed,old,0f922de,mac,4,1330,72,0,drained_8s,yes
pull_grpc_mixed,new,e21cf84,mac,4,1270,83,0,drained_8s,yes
mw_tcp_large,mac_init,e21cf84,mac,1,1912,900,0,drained_8s,yes
mw_tcp_large,win_init,e21cf84,win,1,1919,899,0,drained_8s,yes
mw_tcp_large,mac_init,e21cf84,mac,2,1995,991,0,drained_8s,yes
mw_tcp_large,win_init,e21cf84,win,2,1921,909,0,drained_8s,yes
mw_tcp_large,mac_init,e21cf84,mac,3,1897,897,0,drained_8s,yes
mw_tcp_large,win_init,e21cf84,win,3,1918,899,0,drained_8s,yes
mw_tcp_large,mac_init,e21cf84,mac,4,1916,909,0,drained_6s,yes
mw_tcp_large,win_init,e21cf84,win,4,1934,912,0,drained_8s,yes
wm_tcp_large,mac_init,e21cf84,mac,1,963,0,0,drained_8s,yes
wm_tcp_large,win_init,e21cf84,win,1,961,0,0,drained_6s,yes
wm_tcp_large,mac_init,e21cf84,mac,2,961,0,0,drained_8s,yes
wm_tcp_large,win_init,e21cf84,win,2,3447,0,0,drained_8s,yes
wm_tcp_large,mac_init,e21cf84,mac,3,956,0,0,drained_6s,yes
wm_tcp_large,win_init,e21cf84,win,3,996,0,0,drained_8s,yes
wm_tcp_large,mac_init,e21cf84,mac,4,964,0,0,drained_8s,yes
wm_tcp_large,win_init,e21cf84,win,4,973,0,0,drained_8s,yes
mw_grpc_large,mac_init,e21cf84,mac,1,1910,896,0,drained_6s,yes
mw_grpc_large,win_init,e21cf84,win,1,1930,897,0,drained_8s,yes
mw_grpc_large,mac_init,e21cf84,mac,2,1912,900,0,drained_6s,yes
mw_grpc_large,win_init,e21cf84,win,2,1945,904,0,drained_8s,yes
mw_grpc_large,mac_init,e21cf84,mac,3,1910,898,0,drained_8s,yes
mw_grpc_large,win_init,e21cf84,win,3,1924,902,0,drained_6s,yes
mw_grpc_large,mac_init,e21cf84,mac,4,1927,913,0,drained_8s,yes
mw_grpc_large,win_init,e21cf84,win,4,1933,906,0,drained_8s,yes
wm_grpc_large,mac_init,e21cf84,mac,1,966,0,0,drained_6s,yes
wm_grpc_large,win_init,e21cf84,win,1,988,0,0,drained_6s,yes
wm_grpc_large,mac_init,e21cf84,mac,2,963,0,0,drained_8s,yes
wm_grpc_large,win_init,e21cf84,win,2,999,0,0,drained_6s,yes
wm_grpc_large,mac_init,e21cf84,mac,3,960,0,0,drained_8s,yes
wm_grpc_large,win_init,e21cf84,win,3,998,0,0,drained_8s,yes
wm_grpc_large,mac_init,e21cf84,mac,4,966,0,0,drained_6s,yes
wm_grpc_large,win_init,e21cf84,win,4,985,0,0,drained_8s,yes
mw_tcp_small,mac_init,e21cf84,mac,1,1926,803,0,drained_6s,yes
mw_tcp_small,win_init,e21cf84,win,1,1923,809,0,drained_6s,yes
mw_tcp_small,mac_init,e21cf84,mac,2,1922,854,0,drained_8s,yes
mw_tcp_small,win_init,e21cf84,win,2,1947,807,0,drained_6s,yes
mw_tcp_small,mac_init,e21cf84,mac,3,1884,799,0,drained_8s,yes
mw_tcp_small,win_init,e21cf84,win,3,2004,794,0,drained_8s,yes
mw_tcp_small,mac_init,e21cf84,mac,4,1923,802,0,drained_8s,yes
mw_tcp_small,win_init,e21cf84,win,4,1917,810,0,drained_8s,yes
wm_tcp_small,mac_init,e21cf84,mac,1,1368,172,0,drained_8s,yes
wm_tcp_small,win_init,e21cf84,win,1,1331,215,0,drained_8s,yes
wm_tcp_small,mac_init,e21cf84,mac,2,1216,176,0,drained_8s,yes
wm_tcp_small,win_init,e21cf84,win,2,1260,202,0,drained_8s,yes
wm_tcp_small,mac_init,e21cf84,mac,3,1257,178,0,drained_8s,yes
wm_tcp_small,win_init,e21cf84,win,3,1233,201,0,drained_6s,yes
wm_tcp_small,mac_init,e21cf84,mac,4,1250,180,0,drained_8s,yes
wm_tcp_small,win_init,e21cf84,win,4,1274,170,0,drained_8s,yes
