comparison,kind,lhs,rhs,lhs_ms,rhs_ms,ratio,bar,outcome
wm_grpc_small,invariance,mac_init,win_init,1375,1326,1.037,1.10,PASS
wm_grpc_small,converge,mac_init,old_session,1375,1525,0.902,1.10,PASS
wm_grpc_small,converge,mac_init,old_committed,1375,1462,0.940,1.10,PASS
wm_grpc_small,converge,win_init,old_session,1326,1525,0.870,1.10,PASS
wm_grpc_small,converge,win_init,old_committed,1326,1462,0.907,1.10,PASS
wm_grpc_small,cross,worst_arm,min_old_committed,1375,1462,0.940,1.10,PASS
wm_tcp_large,invariance,mac_init,win_init,962,984,1.023,1.10,PASS
wm_tcp_large,converge,mac_init,old_session,962,964,0.998,1.10,PASS
wm_tcp_large,converge,mac_init,old_committed,962,1294,0.743,1.10,PASS
wm_tcp_large,converge,win_init,old_session,984,964,1.021,1.10,PASS
wm_tcp_large,converge,win_init,old_committed,984,1294,0.760,1.10,PASS
wm_tcp_large,cross,worst_arm,min_old_committed,984,1294,0.760,1.10,PASS
wm_tcp_mixed,invariance,mac_init,win_init,1127,911,1.237,1.10,FAIL
wm_tcp_mixed,converge,mac_init,old_session,1127,867,1.300,1.10,FAIL
wm_tcp_mixed,converge,mac_init,old_committed,1127,1284,0.878,1.10,PASS
wm_tcp_mixed,converge,win_init,old_session,911,867,1.051,1.10,PASS
wm_tcp_mixed,converge,win_init,old_committed,911,1284,0.710,1.10,PASS
wm_tcp_mixed,cross,worst_arm,min_old_committed,1127,1284,0.878,1.10,PASS
wm_tcp_small,invariance,mac_init,win_init,1253,1267,1.011,1.10,PASS
wm_tcp_small,converge,mac_init,old_session,1253,1360,0.921,1.10,PASS
wm_tcp_small,converge,mac_init,old_committed,1253,1280,0.979,1.10,PASS
wm_tcp_small,converge,win_init,old_session,1267,1360,0.932,1.10,PASS
wm_tcp_small,converge,win_init,old_committed,1267,1280,0.990,1.10,PASS
wm_tcp_small,cross,worst_arm,min_old_committed,1267,1280,0.990,1.10,PASS
gap_tcp_large,cross-gap,old_push,old_pull,1908,964,1.979,,RECORDED
gap_tcp_large,cross-gap,new_mw_worst,new_wm_worst,1920,984,1.951,,RECORDED
gap_tcp_small,cross-gap,old_push,old_pull,1811,1360,1.332,,RECORDED
gap_tcp_small,cross-gap,new_mw_worst,new_wm_worst,1935,1267,1.527,,RECORDED
gap_tcp_mixed,cross-gap,old_push,old_pull,1687,867,1.946,,RECORDED
gap_tcp_mixed,cross-gap,new_mw_worst,new_wm_worst,1587,1127,1.408,,RECORDED
gap_grpc_large,cross-gap,old_push,old_pull,1913,978,1.956,,RECORDED
gap_grpc_large,cross-gap,new_mw_worst,new_wm_worst,1931,993,1.945,,RECORDED
gap_grpc_small,cross-gap,old_push,old_pull,2942,1525,1.929,,RECORDED
gap_grpc_small,cross-gap,new_mw_worst,new_wm_worst,2261,1375,1.644,,RECORDED
gap_grpc_mixed,cross-gap,old_push,old_pull,2177,1408,1.546,,RECORDED
gap_grpc_mixed,cross-gap,new_mw_worst,new_wm_worst,1842,1262,1.460,,RECORDED
