comparison,kind,lhs,rhs,lhs_ms,rhs_ms,ratio,bar,outcome
mw_tcp_mixed,invariance,mac_init,win_init,1710,1641,1.042,1.10,PASS
mw_tcp_mixed,converge,mac_init,old_session,1710,,,1.10,NO-SAME-SESSION-REF
mw_tcp_mixed,converge,mac_init,old_committed,1710,2288,0.747,1.10,PASS
mw_tcp_mixed,converge,win_init,old_session,1641,,,1.10,NO-SAME-SESSION-REF
mw_tcp_mixed,converge,win_init,old_committed,1641,2288,0.717,1.10,PASS
mw_tcp_mixed,cross,worst_arm,min_old_committed,1710,1284,1.332,1.10,FAIL
wm_grpc_mixed,invariance,mac_init,win_init,1121,1128,1.006,1.10,PASS
wm_grpc_mixed,converge,mac_init,old_session,1121,,,1.10,NO-SAME-SESSION-REF
wm_grpc_mixed,converge,mac_init,old_committed,1121,1408,0.796,1.10,PASS
wm_grpc_mixed,converge,win_init,old_session,1128,,,1.10,NO-SAME-SESSION-REF
wm_grpc_mixed,converge,win_init,old_committed,1128,1408,0.801,1.10,PASS
wm_grpc_mixed,cross,worst_arm,min_old_committed,1128,1408,0.801,1.10,PASS
wm_tcp_large,invariance,mac_init,win_init,908,908,1.000,1.10,PASS
wm_tcp_large,converge,mac_init,old_session,908,,,1.10,NO-SAME-SESSION-REF
wm_tcp_large,converge,mac_init,old_committed,908,1294,0.702,1.10,PASS
wm_tcp_large,converge,win_init,old_session,908,,,1.10,NO-SAME-SESSION-REF
wm_tcp_large,converge,win_init,old_committed,908,1294,0.702,1.10,PASS
wm_tcp_large,cross,worst_arm,min_old_committed,908,1294,0.702,1.10,PASS
wm_tcp_mixed,invariance,mac_init,win_init,1035,760,1.362,1.10,FAIL
wm_tcp_mixed,converge,mac_init,old_session,1035,,,1.10,NO-SAME-SESSION-REF
wm_tcp_mixed,converge,mac_init,old_committed,1035,1284,0.806,1.10,PASS
wm_tcp_mixed,converge,win_init,old_session,760,,,1.10,NO-SAME-SESSION-REF
wm_tcp_mixed,converge,win_init,old_committed,760,1284,0.592,1.10,PASS
wm_tcp_mixed,cross,worst_arm,min_old_committed,1035,1284,0.806,1.10,PASS
