cell,arm,median_ms,avg_ms,best_ms,spread_pct,voided_runs,pairs_attempted
ms_grpc_mixed,destinit,3230,3272,2519,61.2,0,8
ms_grpc_mixed,srcinit,3435,3676,3030,48.2,0,8
