sequence,cell,pair,q_free_bytes,windows_free_bytes,q_quiet,windows_quiet
001,q_to_windows_sustained,1,47835529216,2468920934400,q_load1=2.05;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=3.33
003,windows_to_q_sustained,1,47832809472,2458183208960,q_load1=1.93;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=3
