cell,direction,fixture,pair,initiator,run_id,session_id,duration_ms,files,bytes,source_path,active_destination_path,archive_path,source_manifest,landed_manifest,source_trace,destination_trace,exit,valid
q_to_windows_sustained,q_to_windows,sustained,1,source_init,ldt4-001,183893c679538516,6412,5,5368709120,/Users/michael/blit-ldt4-staging/fixtures/src_sustained,D:/blit-test/ldt4-sessions/ldt4-20260722T001611Z-04e80082e12c/active/sustained,D:/blit-test/ldt4-sessions/ldt4-20260722T001611Z-04e80082e12c/retained/ldt4-001,manifests/source/q_to_windows_sustained.csv,manifests/landed/ldt4-001.csv,endpoint/q/ldt4-001/client.err,endpoint/windows/ldt4-001/daemon.err,0,yes
q_to_windows_sustained,q_to_windows,sustained,1,destination_init,ldt4-002,9f92f67c617bbe67,4375,5,5368709120,/Users/michael/blit-ldt4-staging/fixtures/src_sustained,D:/blit-test/ldt4-sessions/ldt4-20260722T001611Z-04e80082e12c/active/sustained,D:/blit-test/ldt4-sessions/ldt4-20260722T001611Z-04e80082e12c/retained/ldt4-002,manifests/source/q_to_windows_sustained.csv,manifests/landed/ldt4-002.csv,endpoint/q/ldt4-002/daemon.err,endpoint/windows/ldt4-002/client.err,0,yes
windows_to_q_sustained,windows_to_q,sustained,1,destination_init,ldt4-003,b8828573980e7d22,4616,5,5368709120,D:/blit-test/ldt4-staging/fixtures/src_sustained,/Users/michael/blit-ldt4-sessions/ldt4-20260722T001611Z-04e80082e12c/active/sustained,/Users/michael/blit-ldt4-sessions/ldt4-20260722T001611Z-04e80082e12c/retained/ldt4-003,manifests/source/windows_to_q_sustained.csv,manifests/landed/ldt4-003.csv,endpoint/windows/ldt4-003/daemon.err,endpoint/q/ldt4-003/client.err,0,yes
windows_to_q_sustained,windows_to_q,sustained,1,source_init,ldt4-004,9d8ab05c8817ea42,20670,5,5368709120,D:/blit-test/ldt4-staging/fixtures/src_sustained,/Users/michael/blit-ldt4-sessions/ldt4-20260722T001611Z-04e80082e12c/active/sustained,/Users/michael/blit-ldt4-sessions/ldt4-20260722T001611Z-04e80082e12c/retained/ldt4-004,manifests/source/windows_to_q_sustained.csv,manifests/landed/ldt4-004.csv,endpoint/windows/ldt4-004/client.err,endpoint/q/ldt4-004/daemon.err,0,yes
