cell,direction,fixture,pair,initiator,run_id,session_id,duration_ms,files,bytes,source_path,active_destination_path,archive_path,source_manifest,landed_manifest,source_trace,destination_trace,exit,valid
q_to_windows_large,q_to_windows,large,1,source_init,ldt4-001,3c6b78bf890a62b4,880,1,1073741824,/Users/michael/blit-ldt4-staging/fixtures/src_large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/active/large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/retained/ldt4-001,manifests/source/q_to_windows_large.csv,manifests/landed/ldt4-001.csv,endpoint/q/ldt4-001/client.err,endpoint/windows/ldt4-001/daemon.err,0,yes
q_to_windows_large,q_to_windows,large,1,destination_init,ldt4-002,3d01ef392695e99c,1040,1,1073741824,/Users/michael/blit-ldt4-staging/fixtures/src_large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/active/large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/retained/ldt4-002,manifests/source/q_to_windows_large.csv,manifests/landed/ldt4-002.csv,endpoint/q/ldt4-002/daemon.err,endpoint/windows/ldt4-002/client.err,0,yes
q_to_windows_large,q_to_windows,large,2,destination_init,ldt4-003,e4580f5da727588f,1052,1,1073741824,/Users/michael/blit-ldt4-staging/fixtures/src_large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/active/large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/retained/ldt4-003,manifests/source/q_to_windows_large.csv,manifests/landed/ldt4-003.csv,endpoint/q/ldt4-003/daemon.err,endpoint/windows/ldt4-003/client.err,0,yes
q_to_windows_large,q_to_windows,large,2,source_init,ldt4-004,a52ed404d44f9a06,878,1,1073741824,/Users/michael/blit-ldt4-staging/fixtures/src_large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/active/large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/retained/ldt4-004,manifests/source/q_to_windows_large.csv,manifests/landed/ldt4-004.csv,endpoint/q/ldt4-004/client.err,endpoint/windows/ldt4-004/daemon.err,0,yes
q_to_windows_large,q_to_windows,large,3,destination_init,ldt4-005,f5fa2cdc89e448ad,1048,1,1073741824,/Users/michael/blit-ldt4-staging/fixtures/src_large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/active/large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/retained/ldt4-005,manifests/source/q_to_windows_large.csv,manifests/landed/ldt4-005.csv,endpoint/q/ldt4-005/daemon.err,endpoint/windows/ldt4-005/client.err,0,yes
q_to_windows_large,q_to_windows,large,3,source_init,ldt4-006,5758b280860a3072,877,1,1073741824,/Users/michael/blit-ldt4-staging/fixtures/src_large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/active/large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/retained/ldt4-006,manifests/source/q_to_windows_large.csv,manifests/landed/ldt4-006.csv,endpoint/q/ldt4-006/client.err,endpoint/windows/ldt4-006/daemon.err,0,yes
q_to_windows_large,q_to_windows,large,4,source_init,ldt4-007,e08ebc920ba25360,878,1,1073741824,/Users/michael/blit-ldt4-staging/fixtures/src_large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/active/large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/retained/ldt4-007,manifests/source/q_to_windows_large.csv,manifests/landed/ldt4-007.csv,endpoint/q/ldt4-007/client.err,endpoint/windows/ldt4-007/daemon.err,0,yes
q_to_windows_large,q_to_windows,large,4,destination_init,ldt4-008,944401679e522f4e,1086,1,1073741824,/Users/michael/blit-ldt4-staging/fixtures/src_large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/active/large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/retained/ldt4-008,manifests/source/q_to_windows_large.csv,manifests/landed/ldt4-008.csv,endpoint/q/ldt4-008/daemon.err,endpoint/windows/ldt4-008/client.err,0,yes
q_to_windows_large,q_to_windows,large,5,source_init,ldt4-009,554c41e308da2137,878,1,1073741824,/Users/michael/blit-ldt4-staging/fixtures/src_large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/active/large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/retained/ldt4-009,manifests/source/q_to_windows_large.csv,manifests/landed/ldt4-009.csv,endpoint/q/ldt4-009/client.err,endpoint/windows/ldt4-009/daemon.err,0,yes
q_to_windows_large,q_to_windows,large,5,destination_init,ldt4-010,732f7ec6d55af6e1,1092,1,1073741824,/Users/michael/blit-ldt4-staging/fixtures/src_large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/active/large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/retained/ldt4-010,manifests/source/q_to_windows_large.csv,manifests/landed/ldt4-010.csv,endpoint/q/ldt4-010/daemon.err,endpoint/windows/ldt4-010/client.err,0,yes
