cell,pair,source_init_ms,destination_init_ms,destination_minus_source_ms,slower_faster_ratio,source_peak,destination_peak,source_final,destination_final,source_adds,destination_adds,source_removes,destination_removes,source_operations,destination_operations,source_reasons,destination_reasons,source_reason_sequence,destination_reason_sequence,decision_differences,trace_timing_differences,decision_verdict
q_to_windows_horizon,1,47661,47740,79,1.001657539707517676926627641,4,4,1,1,0,0,3,3,"[[1,""REMOVE"",3],[2,""REMOVE"",2],[3,""REMOVE"",1]]","[[1,""REMOVE"",3],[2,""REMOVE"",2],[3,""REMOVE"",1]]","{""bound"":13,""cooldown"":9,""idle"":1,""rebaseline"":3,""remove"":3,""sustain"":14}","{""bound"":13,""cooldown"":9,""hysteresis"":1,""rebaseline"":3,""remove"":3,""sustain"":13}","[""cooldown"",""cooldown"",""cooldown"",""idle"",""sustain"",""remove"",""rebaseline"",""cooldown"",""cooldown"",""remove"",""rebaseline"",""cooldown"",""cooldown"",""remove"",""rebaseline"",""cooldown"",""cooldown"",""bound"",""sustain"",""bound"",""sustain"",""bound"",""sustain"",""bound"",""sustain"",""bound"",""sustain"",""bound"",""sustain"",""bound"",""sustain"",""bound"",""sustain"",""bound"",""sustain"",""bound"",""sustain"",""bound"",""sustain"",""bound"",""sustain"",""bound"",""sustain""]","[""cooldown"",""cooldown"",""cooldown"",""remove"",""rebaseline"",""cooldown"",""cooldown"",""remove"",""rebaseline"",""cooldown"",""cooldown"",""remove"",""rebaseline"",""cooldown"",""cooldown"",""bound"",""sustain"",""bound"",""sustain"",""bound"",""sustain"",""bound"",""sustain"",""bound"",""sustain"",""bound"",""sustain"",""bound"",""sustain"",""bound"",""sustain"",""hysteresis"",""sustain"",""bound"",""sustain"",""bound"",""sustain"",""bound"",""sustain"",""bound"",""sustain"",""bound""]",,reason_distribution;reason_sequence,TRANSITIONS_MATCH
windows_to_q_horizon,1,34710,45282,10572,1.304580812445980985306828003,4,10,1,10,0,6,3,0,"[[1,""REMOVE"",3],[2,""REMOVE"",2],[3,""REMOVE"",1]]","[[1,""ADD"",5],[2,""ADD"",6],[3,""ADD"",7],[4,""ADD"",8],[5,""ADD"",9],[6,""ADD"",10]]","{""bound"":8,""cooldown"":9,""rebaseline"":3,""remove"":3,""sustain"":8}","{""add"":6,""cheap-up"":6,""cooldown"":10,""hysteresis"":4,""rebaseline"":5}","[""cooldown"",""cooldown"",""cooldown"",""remove"",""rebaseline"",""cooldown"",""cooldown"",""remove"",""rebaseline"",""cooldown"",""cooldown"",""remove"",""rebaseline"",""cooldown"",""cooldown"",""bound"",""sustain"",""bound"",""sustain"",""bound"",""sustain"",""bound"",""sustain"",""bound"",""sustain"",""bound"",""sustain"",""bound"",""sustain"",""bound"",""sustain""]","[""hysteresis"",""cheap-up"",""hysteresis"",""hysteresis"",""cheap-up"",""cheap-up"",""cheap-up"",""hysteresis"",""cheap-up"",""cheap-up"",""add"",""rebaseline"",""cooldown"",""cooldown"",""add"",""rebaseline"",""cooldown"",""cooldown"",""add"",""rebaseline"",""cooldown"",""cooldown"",""add"",""rebaseline"",""cooldown"",""cooldown"",""add"",""rebaseline"",""cooldown"",""cooldown"",""add""]",peak;final;add_count;remove_count;operation_sequence,reason_distribution;reason_sequence,REVIEW_REQUIRED
