cell,pair,initiator,run_id,session_id,source_endpoint,destination_endpoint,client_endpoint,duration_ms,throughput_mib_s,floor_streams,peak_streams,final_streams,receiver_ceiling,accepted_adds,accepted_removes,sample_count,sample_observation,operations,reason_counts,reason_sequence,source_complete_elapsed_ns,destination_complete_elapsed_ns,client_complete_elapsed_ns,review_reasons,arm_verdict,source_path,active_destination_path,archive_path,landed_manifest,landed_manifest_sha256,source_trace,destination_trace
q_to_windows_sustained,1,source_init,ldt4-001,183893c679538516,q,netwatch-01,q,6412,798.503,4,4,4,32,0,0,0,no-sample,[],{},[],6196684292,6387823800,6196684292,"[""NO_ACCEPTED_ADD_ABOVE_FLOOR""]",REVIEW_REQUIRED,/Users/michael/blit-ldt4-staging/fixtures/src_sustained,D:/blit-test/ldt4-sessions/ldt4-20260722T001611Z-04e80082e12c/active/sustained,D:/blit-test/ldt4-sessions/ldt4-20260722T001611Z-04e80082e12c/retained/ldt4-001,manifests/landed/ldt4-001.csv,a8f37c788f34339d0ca69ae3468f56baf661c0f69d64ee5e3f52852b307de57c,endpoint/q/ldt4-001/client.err,endpoint/windows/ldt4-001/daemon.err
q_to_windows_sustained,1,destination_init,ldt4-002,9f92f67c617bbe67,q,netwatch-01,netwatch-01,4375,1170.286,4,4,4,32,0,0,0,no-sample,[],{},[],4348745708,4349749000,4349749000,"[""NO_ACCEPTED_ADD_ABOVE_FLOOR""]",REVIEW_REQUIRED,/Users/michael/blit-ldt4-staging/fixtures/src_sustained,D:/blit-test/ldt4-sessions/ldt4-20260722T001611Z-04e80082e12c/active/sustained,D:/blit-test/ldt4-sessions/ldt4-20260722T001611Z-04e80082e12c/retained/ldt4-002,manifests/landed/ldt4-002.csv,a8f37c788f34339d0ca69ae3468f56baf661c0f69d64ee5e3f52852b307de57c,endpoint/q/ldt4-002/daemon.err,endpoint/windows/ldt4-002/client.err
windows_to_q_sustained,1,destination_init,ldt4-003,b8828573980e7d22,netwatch-01,q,q,4616,1109.185,4,4,4,32,0,0,0,no-sample,[],{},[],4573233200,4586449625,4586449625,"[""NO_ACCEPTED_ADD_ABOVE_FLOOR""]",REVIEW_REQUIRED,D:/blit-test/ldt4-staging/fixtures/src_sustained,/Users/michael/blit-ldt4-sessions/ldt4-20260722T001611Z-04e80082e12c/active/sustained,/Users/michael/blit-ldt4-sessions/ldt4-20260722T001611Z-04e80082e12c/retained/ldt4-003,manifests/landed/ldt4-003.csv,a8f37c788f34339d0ca69ae3468f56baf661c0f69d64ee5e3f52852b307de57c,endpoint/windows/ldt4-003/daemon.err,endpoint/q/ldt4-003/client.err
windows_to_q_sustained,1,source_init,ldt4-004,9d8ab05c8817ea42,netwatch-01,q,netwatch-01,20670,247.702,4,4,4,32,0,0,0,no-sample,[],{},[],20643073500,20645903917,20643073500,"[""NO_ACCEPTED_ADD_ABOVE_FLOOR""]",REVIEW_REQUIRED,D:/blit-test/ldt4-staging/fixtures/src_sustained,/Users/michael/blit-ldt4-sessions/ldt4-20260722T001611Z-04e80082e12c/active/sustained,/Users/michael/blit-ldt4-sessions/ldt4-20260722T001611Z-04e80082e12c/retained/ldt4-004,manifests/landed/ldt4-004.csv,a8f37c788f34339d0ca69ae3468f56baf661c0f69d64ee5e3f52852b307de57c,endpoint/windows/ldt4-004/client.err,endpoint/q/ldt4-004/daemon.err
