block,run_id,pass,cell,pair,role,role_order,before_sample,before_min_rtt_ns,before_offset_windows_minus_q_ns,after_sample,after_min_rtt_ns,after_offset_windows_minus_q_ns,selected_max_rtt_ns,selected_offset_change_ns
2,20260715T211759Z.30531-b2-on,reverse,wm_tcp_mixed,1,source_init,1,3,357000,-4605812200,3,389000,-4605825900,389000,-13700
2,20260715T211759Z.30531-b2-on,reverse,wm_tcp_mixed,1,destination_init,2,3,360000,-4605896300,3,726000,-4605929100,726000,-32800
2,20260715T211759Z.30531-b2-on,reverse,wm_tcp_mixed,2,destination_init,1,3,363000,-4606016600,3,628000,-4606073400,628000,-56800
2,20260715T211759Z.30531-b2-on,reverse,wm_tcp_mixed,2,source_init,2,3,392000,-4606085100,3,353000,-4606098100,392000,-13000
2,20260715T211759Z.30531-b2-on,reverse,mw_tcp_mixed,2,destination_init,1,3,360000,-4606151000,2,365000,-4606142900,365000,8100
2,20260715T211759Z.30531-b2-on,reverse,mw_tcp_mixed,2,source_init,2,3,357000,-4606253800,3,381000,-4606270500,381000,-16700
2,20260715T211759Z.30531-b2-on,reverse,wm_grpc_mixed,2,destination_init,1,3,344000,-4606334700,3,494000,-4606317100,494000,17600
2,20260715T211759Z.30531-b2-on,reverse,wm_grpc_mixed,2,source_init,2,3,375000,-4606410200,3,366000,-4606428400,375000,-18200
2,20260715T211759Z.30531-b2-on,reverse,wm_tcp_large,2,destination_init,1,3,341000,-4606492100,2,419000,-4606466800,419000,25300
2,20260715T211759Z.30531-b2-on,reverse,wm_tcp_large,2,source_init,2,3,346000,-4606561700,3,378000,-4606589600,378000,-27900
2,20260715T211759Z.30531-b2-on,reverse,wm_tcp_mixed,3,destination_init,1,3,340000,-4606642900,3,287000,-4606635900,340000,7000
2,20260715T211759Z.30531-b2-on,reverse,wm_tcp_mixed,3,source_init,2,3,364000,-4606704300,3,613000,-4606731200,613000,-26900
2,20260715T211759Z.30531-b2-on,reverse,mw_tcp_mixed,3,destination_init,1,3,371000,-4606775700,3,380000,-4606780900,380000,-5200
2,20260715T211759Z.30531-b2-on,reverse,mw_tcp_mixed,3,source_init,2,3,357000,-4606867500,3,241000,-4606859300,357000,8200
