block,trace_state,pass,cell,pair,role,run_id,session_id,endpoint_role,initiator_role,interval_kind,interval_name,correlation,start_event,end_event,start_producer_seq,end_producer_seq,start_elapsed_ns,end_elapsed_ns,duration_ns
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,socket_accept_begin->socket_accept_end,,socket_accept_begin,socket_accept_end,99,100,148097042,148560834,463792
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,socket_accept_end->socket_trace_attached,,socket_accept_end,socket_trace_attached,100,101,148560834,148562000,1166
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,socket_trace_attached->resize_received,,socket_trace_attached,resize_received,101,102,148562000,148567000,5000
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,resize_received->resize_arm_queue_begin,,resize_received,resize_arm_queue_begin,102,103,148567000,148567125,125
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,resize_arm_queue_begin->destination_prepared,,resize_arm_queue_begin,destination_prepared,103,104,148567125,148567334,209
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,destination_prepared->resize_ack_send_begin,,destination_prepared,resize_ack_send_begin,104,105,148567334,148567459,125
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,resize_ack_send_begin->resize_ack_sent,,resize_ack_send_begin,resize_ack_sent,105,106,148567459,148568334,875
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,resize_ack_sent->resize_arm_ready,,resize_ack_sent,resize_arm_ready,106,107,148568334,148573292,4958
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,resize_arm_ready->socket_accept_begin,,resize_arm_ready,socket_accept_begin,107,108,148573292,148573667,375
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,socket_accept_begin->first_payload_received,,socket_accept_begin,first_payload_received,108,109,148573667,148693834,120167
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,first_payload_received->socket_accept_end,,first_payload_received,socket_accept_end,109,110,148693834,149520459,826625
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,socket_accept_end->socket_trace_attached,,socket_accept_end,socket_trace_attached,110,111,149520459,149521834,1375
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,socket_trace_attached->resize_received,,socket_trace_attached,resize_received,111,112,149521834,149623542,101708
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,resize_received->resize_arm_queue_begin,,resize_received,resize_arm_queue_begin,112,113,149623542,149624459,917
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,resize_arm_queue_begin->destination_prepared,,resize_arm_queue_begin,destination_prepared,113,114,149624459,149624667,208
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,destination_prepared->resize_ack_send_begin,,destination_prepared,resize_ack_send_begin,114,115,149624667,149624750,83
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,resize_ack_send_begin->resize_ack_sent,,resize_ack_send_begin,resize_ack_sent,115,116,149624750,149625750,1000
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,resize_ack_sent->resize_arm_ready,,resize_ack_sent,resize_arm_ready,116,117,149625750,149630709,4959
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,resize_arm_ready->socket_accept_begin,,resize_arm_ready,socket_accept_begin,117,118,149630709,149631000,291
