block,trace_state,pass,cell,role,pair,role_order,transfer_ms,settled_ms,flush_ms,total_ms,landed_root,tree_manifest_sha256,exit,drain,valid,run_id,session_id,client_log
1,off,forward,wm_grpc_mixed,source_init,3,2,1385,460,88,1683,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b1-off,,client/b1_wm_grpc_mixed_p3_source_init.windows.err
1,off,forward,mw_tcp_mixed,destination_init,3,1,988,427,1126,2291,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b1-off,,client/b1_mw_tcp_mixed_p3_destination_init.windows.err
1,off,forward,mw_tcp_mixed,source_init,3,2,974,390,1131,2245,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b1-off,,client/b1_mw_tcp_mixed_p3_source_init.err
1,off,forward,wm_tcp_mixed,destination_init,3,1,1137,412,87,1386,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b1-off,,client/b1_wm_tcp_mixed_p3_destination_init.err
1,off,forward,wm_tcp_mixed,source_init,3,2,1194,449,85,1478,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b1-off,,client/b1_wm_tcp_mixed_p3_source_init.windows.err
1,off,forward,wm_tcp_mixed,source_init,4,1,1048,457,87,1342,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b1-off,,client/b1_wm_tcp_mixed_p4_source_init.windows.err
1,off,forward,wm_tcp_mixed,destination_init,4,2,1145,408,74,1377,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b1-off,,client/b1_wm_tcp_mixed_p4_destination_init.err
1,off,forward,mw_tcp_mixed,source_init,4,1,1039,382,1128,2299,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b1-off,,client/b1_mw_tcp_mixed_p4_source_init.err
1,off,forward,mw_tcp_mixed,destination_init,4,2,877,455,1121,2203,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b1-off,,client/b1_mw_tcp_mixed_p4_destination_init.windows.err
1,off,forward,wm_grpc_mixed,source_init,4,1,1255,477,87,1569,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b1-off,,client/b1_wm_grpc_mixed_p4_source_init.windows.err
1,off,forward,wm_grpc_mixed,destination_init,4,2,1193,401,74,1418,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b1-off,,client/b1_wm_grpc_mixed_p4_destination_init.err
1,off,forward,wm_tcp_large,source_init,4,1,1274,483,0,1507,src_large,53d97ba62b210d01239d23ef1dc2acbd3f86b295285d4d2a9f195956f6597b47,0,drained,yes,20260715T211759Z.30531-b1-off,,client/b1_wm_tcp_large_p4_source_init.windows.err
1,off,forward,wm_tcp_large,destination_init,4,2,1260,419,0,1429,src_large,53d97ba62b210d01239d23ef1dc2acbd3f86b295285d4d2a9f195956f6597b47,0,drained,yes,20260715T211759Z.30531-b1-off,,client/b1_wm_tcp_large_p4_destination_init.err
2,on,reverse,wm_tcp_large,source_init,1,1,1362,468,0,1580,src_large,53d97ba62b210d01239d23ef1dc2acbd3f86b295285d4d2a9f195956f6597b47,0,drained,yes,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,client/b2_wm_tcp_large_p1_source_init.windows.err
2,on,reverse,wm_tcp_large,destination_init,1,2,1272,419,0,1441,src_large,53d97ba62b210d01239d23ef1dc2acbd3f86b295285d4d2a9f195956f6597b47,0,drained,yes,20260715T211759Z.30531-b2-on,49828d81566c4b9d,client/b2_wm_tcp_large_p1_destination_init.err
2,on,reverse,wm_grpc_mixed,source_init,1,1,1380,457,85,1672,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b2-on,,client/b2_wm_grpc_mixed_p1_source_init.windows.err
2,on,reverse,wm_grpc_mixed,destination_init,1,2,1178,410,85,1423,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b2-on,,client/b2_wm_grpc_mixed_p1_destination_init.err
2,on,reverse,mw_tcp_mixed,source_init,1,1,942,386,1135,2213,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b2-on,b2512a83c1da119e,client/b2_mw_tcp_mixed_p1_source_init.err
2,on,reverse,mw_tcp_mixed,destination_init,1,2,1126,455,1130,2461,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b2-on,79c6cadc5bb83af6,client/b2_mw_tcp_mixed_p1_destination_init.windows.err
2,on,reverse,wm_tcp_mixed,source_init,1,1,1272,452,75,1549,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b2-on,01ad7ea9bbe4c53b,client/b2_wm_tcp_mixed_p1_source_init.windows.err
2,on,reverse,wm_tcp_mixed,destination_init,1,2,1136,418,85,1389,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b2-on,8cb96baae5bfb211,client/b2_wm_tcp_mixed_p1_destination_init.err
2,on,reverse,wm_tcp_mixed,destination_init,2,1,1090,410,74,1324,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b2-on,e1ddf844463d4b65,client/b2_wm_tcp_mixed_p2_destination_init.err
2,on,reverse,wm_tcp_mixed,source_init,2,2,1156,454,93,1453,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b2-on,67e39c65a676067d,client/b2_wm_tcp_mixed_p2_source_init.windows.err
2,on,reverse,mw_tcp_mixed,destination_init,2,1,975,431,1143,2299,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b2-on,77f71e2d23f6dd91,client/b2_mw_tcp_mixed_p2_destination_init.windows.err
2,on,reverse,mw_tcp_mixed,source_init,2,2,808,422,1145,2125,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b2-on,ff194a93bb6170e9,client/b2_mw_tcp_mixed_p2_source_init.err
2,on,reverse,wm_grpc_mixed,destination_init,2,1,1208,414,76,1448,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b2-on,,client/b2_wm_grpc_mixed_p2_destination_init.err
